login,time,total_pnl,by_symbol,num_positions
263006287,2025-07-25T00:32:42.521926,11.33,"{""NZDUSDc"": -2.29, ""GBPJPYc"": 7.34, ""EURCADc"": -0.89, ""AUDCHFc"": 7.42, ""EURUSDc"": -0.23}",5
183459647,2025-07-25T00:32:42.531954,-0.39,"{""GBPCADc"": 9.74, ""EURUSDc"": -0.34, ""AUDJPYc"": -0.18, ""EURNZDc"": 0.16, ""USDCHFc"": -8.04}",5
263006287,2025-07-25T00:32:52.540439,11.27,"{""NZDUSDc"": -2.33, ""GBPJPYc"": 7.34, ""EURCADc"": -0.89, ""AUDCHFc"": 7.41, ""EURUSDc"": -0.24}",5
183459647,2025-07-25T00:32:52.540439,-0.4,"{""GBPCADc"": 9.73, ""EURUSDc"": -0.35, ""AUDJPYc"": -0.17, ""EURNZDc"": 0.18, ""USDCHFc"": -8.06}",5
263006287,2025-07-25T00:33:02.566138,11.33,"{""NZDUSDc"": -2.32, ""GBPJPYc"": 7.38, ""EURCADc"": -0.89, ""AUDCHFc"": 7.39, ""EURUSDc"": -0.21}",5
183459647,2025-07-25T00:33:02.580843,-0.33,"{""GBPCADc"": 9.75, ""EURUSDc"": -0.32, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.18, ""USDCHFc"": -8.05}",5
263006287,2025-07-25T00:33:12.589008,11.32,"{""NZDUSDc"": -2.32, ""GBPJPYc"": 7.32, ""EURCADc"": -0.86, ""AUDCHFc"": 7.39, ""EURUSDc"": -0.19}",5
183459647,2025-07-25T00:33:12.600539,-0.28,"{""GBPCADc"": 9.76, ""EURUSDc"": -0.3, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.2, ""USDCHFc"": -8.05}",5
263006287,2025-07-25T00:33:22.606229,11.42,"{""NZDUSDc"": -2.31, ""GBPJPYc"": 7.36, ""EURCADc"": -0.86, ""AUDCHFc"": 7.44, ""EURUSDc"": -0.19}",5
183459647,2025-07-25T00:33:22.632760,-0.22,"{""GBPCADc"": 9.79, ""EURUSDc"": -0.3, ""AUDJPYc"": -0.17, ""EURNZDc"": 0.18, ""USDCHFc"": -7.99}",5
263006287,2025-07-25T00:33:32.629988,11.44,"{""NZDUSDc"": -2.3, ""GBPJPYc"": 7.35, ""EURCADc"": -0.85, ""AUDCHFc"": 7.44, ""EURUSDc"": -0.18}",5
183459647,2025-07-25T00:33:32.645653,-0.2,"{""GBPCADc"": 9.77, ""EURUSDc"": -0.29, ""AUDJPYc"": -0.17, ""EURNZDc"": 0.19, ""USDCHFc"": -7.97}",5
263006287,2025-07-25T00:33:42.644971,11.39,"{""NZDUSDc"": -2.28, ""GBPJPYc"": 7.34, ""EURCADc"": -0.91, ""AUDCHFc"": 7.42, ""EURUSDc"": -0.16}",5
183459647,2025-07-25T00:33:42.660063,-0.29,"{""GBPCADc"": 9.7, ""EURUSDc"": -0.27, ""AUDJPYc"": -0.19, ""EURNZDc"": 0.16, ""USDCHFc"": -7.96}",5
263006287,2025-07-25T00:33:52.658120,11.35,"{""NZDUSDc"": -2.28, ""GBPJPYc"": 7.34, ""EURCADc"": -0.93, ""AUDCHFc"": 7.42, ""EURUSDc"": -0.18}",5
183459647,2025-07-25T00:33:52.675177,-0.32,"{""GBPCADc"": 9.71, ""EURUSDc"": -0.29, ""AUDJPYc"": -0.19, ""EURNZDc"": 0.14, ""USDCHFc"": -7.96}",5
263006287,2025-07-25T00:34:02.673856,11.35,"{""NZDUSDc"": -2.3, ""GBPJPYc"": 7.36, ""EURCADc"": -0.93, ""AUDCHFc"": 7.43, ""EURUSDc"": -0.19}",5
183459647,2025-07-25T00:34:02.689200,-0.31,"{""GBPCADc"": 9.72, ""EURUSDc"": -0.3, ""AUDJPYc"": -0.18, ""EURNZDc"": 0.14, ""USDCHFc"": -7.96}",5
263006287,2025-07-25T00:34:12.705219,11.4,"{""NZDUSDc"": -2.3, ""GBPJPYc"": 7.39, ""EURCADc"": -0.91, ""AUDCHFc"": 7.43, ""EURUSDc"": -0.19}",5
183459647,2025-07-25T00:34:12.725753,-0.27,"{""GBPCADc"": 9.72, ""EURUSDc"": -0.3, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.16, ""USDCHFc"": -7.96}",5
263006287,2025-07-25T00:34:22.710610,11.43,"{""NZDUSDc"": -2.3, ""GBPJPYc"": 7.41, ""EURCADc"": -0.91, ""AUDCHFc"": 7.43, ""EURUSDc"": -0.18}",5
183459647,2025-07-25T00:34:22.742213,-0.29,"{""GBPCADc"": 9.71, ""EURUSDc"": -0.29, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.15, ""USDCHFc"": -7.97}",5
263006287,2025-07-25T00:34:32.733477,11.63,"{""NZDUSDc"": -2.29, ""GBPJPYc"": 7.47, ""EURCADc"": -0.87, ""AUDCHFc"": 7.46, ""EURUSDc"": -0.12}",5
183459647,2025-07-25T00:34:32.748112,-0.16,"{""GBPCADc"": 9.72, ""EURUSDc"": -0.23, ""AUDJPYc"": -0.15, ""EURNZDc"": 0.14, ""USDCHFc"": -7.91}",5
183459647,2025-07-25T00:34:40.634211,-0.21,"{""GBPCADc"": 9.69, ""EURUSDc"": -0.25, ""AUDJPYc"": -0.14, ""EURNZDc"": 0.13, ""USDCHFc"": -7.91}",5
263006287,2025-07-25T00:34:40.647450,11.63,"{""NZDUSDc"": -2.26, ""GBPJPYc"": 7.48, ""EURCADc"": -0.89, ""AUDCHFc"": 7.46, ""EURUSDc"": -0.14}",5
183459647,2025-07-25T00:34:50.655031,-0.23,"{""GBPCADc"": 9.68, ""EURUSDc"": -0.25, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.17, ""USDCHFc"": -7.94}",5
263006287,2025-07-25T00:34:50.670073,11.54,"{""NZDUSDc"": -2.29, ""GBPJPYc"": 7.45, ""EURCADc"": -0.9, ""AUDCHFc"": 7.44, ""EURUSDc"": -0.14}",5
183459647,2025-07-25T00:35:00.674168,-0.25,"{""GBPCADc"": 9.67, ""EURUSDc"": -0.25, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.16, ""USDCHFc"": -7.94}",5
263006287,2025-07-25T00:35:00.689475,11.58,"{""NZDUSDc"": -2.28, ""GBPJPYc"": 7.47, ""EURCADc"": -0.89, ""AUDCHFc"": 7.44, ""EURUSDc"": -0.14}",5
183459647,2025-07-25T00:35:09.169201,-0.25,"{""GBPCADc"": 9.67, ""EURUSDc"": -0.24, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.13, ""USDCHFc"": -7.92}",5
263006287,2025-07-25T00:35:09.190661,11.59,"{""NZDUSDc"": -2.27, ""GBPJPYc"": 7.47, ""EURCADc"": -0.9, ""AUDCHFc"": 7.44, ""EURUSDc"": -0.13}",5
183459647,2025-07-25T00:35:19.192631,-0.26,"{""GBPCADc"": 9.67, ""EURUSDc"": -0.24, ""AUDJPYc"": -0.17, ""EURNZDc"": 0.12, ""USDCHFc"": -7.91}",5
263006287,2025-07-25T00:35:19.208180,11.6,"{""NZDUSDc"": -2.26, ""GBPJPYc"": 7.48, ""EURCADc"": -0.9, ""AUDCHFc"": 7.43, ""EURUSDc"": -0.13}",5
263006287,2025-07-25T00:35:29.214596,11.28,"{""NZDUSDc"": -2.31, ""GBPJPYc"": 7.43, ""EURCADc"": -0.96, ""AUDCHFc"": 7.38, ""EURUSDc"": -0.24}",5
183459647,2025-07-25T00:35:29.214596,-0.53,"{""GBPCADc"": 9.67, ""EURUSDc"": -0.35, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.13, ""USDCHFc"": -8.09}",5
183459647,2025-07-25T00:35:39.240575,-0.65,"{""GBPCADc"": 9.58, ""EURUSDc"": -0.4, ""AUDJPYc"": -0.15, ""EURNZDc"": 0.13, ""USDCHFc"": -8.08}",5
263006287,2025-07-25T00:35:39.255317,11.25,"{""NZDUSDc"": -2.33, ""GBPJPYc"": 7.51, ""EURCADc"": -1.01, ""AUDCHFc"": 7.39, ""EURUSDc"": -0.29}",5
183459647,2025-07-25T00:35:49.256682,-0.75,"{""GBPCADc"": 9.53, ""EURUSDc"": -0.43, ""AUDJPYc"": -0.14, ""EURNZDc"": 0.11, ""USDCHFc"": -8.09}",5
263006287,2025-07-25T00:35:49.272729,11.24,"{""NZDUSDc"": -2.34, ""GBPJPYc"": 7.59, ""EURCADc"": -1.05, ""AUDCHFc"": 7.38, ""EURUSDc"": -0.32}",5
183459647,2025-07-25T00:35:59.265284,-0.62,"{""GBPCADc"": 9.55, ""EURUSDc"": -0.39, ""AUDJPYc"": -0.14, ""EURNZDc"": 0.1, ""USDCHFc"": -8.01}",5
263006287,2025-07-25T00:35:59.280527,11.36,"{""NZDUSDc"": -2.31, ""GBPJPYc"": 7.58, ""EURCADc"": -1.03, ""AUDCHFc"": 7.42, ""EURUSDc"": -0.28}",5
263006287,2025-07-25T00:36:09.288184,11.31,"{""NZDUSDc"": -2.3, ""GBPJPYc"": 7.58, ""EURCADc"": -1.03, ""AUDCHFc"": 7.37, ""EURUSDc"": -0.29}",5
183459647,2025-07-25T00:36:09.288184,-0.71,"{""GBPCADc"": 9.56, ""EURUSDc"": -0.4, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.08, ""USDCHFc"": -8.06}",5
183459647,2025-07-25T00:36:19.310140,-0.63,"{""GBPCADc"": 9.49, ""EURUSDc"": -0.32, ""AUDJPYc"": -0.16, ""EURNZDc"": 0.1, ""USDCHFc"": -8.01}",5
263006287,2025-07-25T00:36:19.310140,11.46,"{""NZDUSDc"": -2.26, ""GBPJPYc"": 7.6, ""EURCADc"": -1.01, ""AUDCHFc"": 7.36, ""EURUSDc"": -0.21}",5
183459647,2025-07-25T00:36:29.326086,-0.68,"{""GBPCADc"": 9.48, ""EURUSDc"": -0.34, ""AUDJPYc"": -0.17, ""EURNZDc"": 0.1, ""USDCHFc"": -8.02}",5
